Оригинал	Перевод
Velvet Shade Guest	Гость бархатной тени
Fu Wenshu Фу Вэньшу
Fu Xinlang Фу Синьлан
Gong Jiang Гун Цзян
Grandpa Zhou Дедушка Чжоу
Granny Yin Бабушка Инь
Guan Yu Гуань Юй
Han Xin Хань Синь
Han Yanluo Хань Яньло
Hong Yang Хун Ян
Hu Dugu Ху Дугу
Hu Niu'er Ху Нюэр
Hu Sanbao Ху Саньбао
Hu Yan Ху Янь
Hua Wuque Хуа Уцюэ
Huajian Ke Хуацзянь Кэ
Huo Feng Хо Фэн
Iron Hammer Wang Железный Молот Ван
Iron Hu Железный Ху
Jiang Haijin Цзян Хайцзинь
Jiang Haimiao Цзян Хаймяо
Jiang Meiyan Цзян Мэйянь
Jiang Ying Цзян Ин
Jiang Yulang Цзян Юйлан
Jin Huo Цзинь Хо
Jin Xiaozhu Цзинь Сяочжу
Jin Yunhai Цзинь Юньхай
Jin Zhongyuan Цзинь Чжунъюань
Jing Ke Цзин Кэ
Ke Bineng Кэ Бинэн
Kid Ke Малыш Кэ
Lady Chen Lian Леди Чэнь Лянь
Lady Zhou Леди Чжоу
Li Aili Ли Айли
Li An Ли Ань
Li Fuyu Ли Фуюй
Li Huahua Ли Хуахуа
Li Huan Ли Хуань
Li Ke Ли Кэ
Li Meng Ли Мэн
Li Shun Ли Шунь
Li Si Ли Сы
Li Wa Ли Ва
Li Zhenzhen Ли Чжэньчжэнь
Li Zuo Ли Цзо
Little Lu Маленький Лу
Liu Feihu Лю Фэйху
Liu Fen Лю Фэнь
Liu Jiumeng Лю Цзюмэн
Liu Musan Лю Мусань
Liu Qingyi Лю Цинъи
Liu Rui Лю Жуй
Liu Shishi Лю Шиши
Liu the Woodcutter Лю Дровосек
Liu Xiao'an Лю Сяоань
Liu Xiaoshan Лю Сяошань
Liu Zhiran Лю Чжижань
Long Wu Лун У
Lu Ban Лу Бань
Lu Guifang Лу Гуйфан
Lu Jingzong Лу Цзинцзун
Lu Kangge Лу Кангэ
Lu Ke Лу Кэ
Lu Ping Лу Пин
Lu Sheng Лу Шэн
Lu Su Лу Су
Lü Ye Люй Е
Lu Yinge Лу Ингэ
Lu Yuan Лу Юань
Lu Yufang Лу Юйфан
Lunar Goddess Лунная Богиня
Madam Chen Мадам Чэнь
Madam Shen Мадам Шэнь
Madam Yan Мадам Янь
Madam Zhang Мадам Чжан
Martial Addict Боевой Наркоман
Master Han Мастер Хань
Master Wei Мастер Вэй
Master Yan Мастер Янь
Mi Fu Ми Фу
Miner Zhou Fuye Шахтер Чжоу Фуе
Mo Wu Мо У
Mr. Song Мистер Сун
Mu Bai Му Бай
Old Jin Старый Цзинь
Ouyang Ke Оуян Кэ
Pilgrim Wu Qiyun Пилигрим У Циюнь
Qi Feijun Ци Фэйцзюнь
Qin Erge Цинь Эргэ
Qin Horse Цинь Лошадь
Qin Lao Цинь Лао
Qin Ming Цинь Мин
Qin Ruolan Цинь Жолань
Qin Shi Huang Цинь Ши Хуан
Qu Yuan Цюй Юань
Rich Ye Богатый Е
Rong Yi Жун И
Scarred Zhang Шрамированный Чжан
Scholar Hu Ученый Ху
Senior Sister Han Старшая Сестра Хань
Shang Lu Шан Лу
Shen Hanying Шэнь Ханьин
Shen Lingyue Шэнь Линъюэ
Shen Luoyan Шэнь Лоянь
Shen Pingbo Шэнь Пинбо
Shen Wuqi Шэнь Уци
Shen Yu Шэнь Юй
Shi Ming Ши Мин
Shi Shouxin Ши Шоусинь
Shi Yimo Ши Имо
Shi Zhen Ши Чжэнь
Shopkeeper Fu Хозяин Фу
Shopkeeper Shen Хозяин Шэнь
Shopkeeper Wang Хозяин Ван
Sixteen Lanes Yan Wu Шестнадцать Переулков Янь У
Song Zhiwen Сун Чживэнь
Squireling Wang Сквайрлинг Ван
Su Qin Су Цинь
Sun Dalu Сунь Далу
Sun Lisan Сунь Лисань
Sun Quan Сунь Цюань
Sun Shangxiang Сунь Шансян
Swordsman Lu Ke Мечник Лу Кэ
Tang Ji'an Тан Цзиань
Tang Shuhu Тан Шуху
Tang Xiao'an Тан Сяоань
Tang Xinci Тан Синьцы
Tang Yue Тан Юэ
Tian Danui Тянь Дануй
Tian Erxiao Тянь Эрсяо
Tian Heng Тянь Хэн
Tian Qi Тянь Ци
Tian Qiyao Тянь Цияо
Tian You Тянь Ю
Tian Yunniang Тянь Юньнян
Tian Zhichi Тянь Чжичи
Unfated Tian Несужденный Тянь
Villager Liu Житель Лю
Wang Dou Ван Доу
Wang Duoli Ван Доли
Wang Duolu Ван Долу
Wang Guangyou Ван Гуанъю
Wang Shisan Ван Шисань
Wang Wei Ван Вэй
Wang Xiangpi Ван Сянпи
Wang Xizhi Ван Сичжи
Wei Mingming Вэй Минмин
Wei Qing Вэй Цин
Wei Renpu Вэй Жэньпу
Wei Ruoheng Вэй Жохэн
Wei Shaoyan Вэй Шаоянь
Wei Zhanmei Вэй Чжаньмэй
Wei Zhixi Вэй Чжиси
Widow Zhou Вдова Чжоу
Wild Liu Дикий Лю
Wu Caifeng У Цайфэн
Wu Erbai У Эрбай
Wu Jia У Цзя
Wu Meilian У Мэйлянь
Wu You У Ю
Xiao Tianyun Сяо Тяньюнь
Xiao Yu Сяо Юй
Xie Ciniang Се Цинян
Xie Hui Се Хуэй
Xie Jinyu Се Цзинью
Xie Lanzhi Се Ланьчжи
Xie Qiong Се Цюн
Xie Xiuyu Се Сююй
Xie Yuanqin Се Юаньцинь
Xie Yuanting Се Юаньтин
Xie Yuanyu Се Юаньюй
Xie Yun Се Юнь
Xie Zehui Се Цзэхуэй
Xie Zhaoming Се Чжаомин
Xu Chengfeng Сюй Чэнфэн
Xu Li Сюй Ли
Xu Lingqiu Сюй Линцю
Xu Meng'er Сюй Мэнэр
Xu Ming Сюй Мин
Xu Mobai Сюй Мобай
Xu Ruogu Сюй Жогу
Xu Yan Сюй Янь
Yan Datie Янь Дате
Yan Hui Янь Хуэй
Yan Shiliu Янь Шилю
Yan Tuo Янь То
Yang Cun Ян Цунь
Yang Dian Ян Дянь
Yang Ming Ян Мин
Yang Xin Ян Синь
Yang Xing Ян Син
Yang Yixian Ян Исянь
Yao Yuan Яо Юань
Ye Qingge Е Цингэ
Ye Wanshan Е Ваньшань
Ye Weizhao Е Вэйчжао
Ye Xian Е Сянь
Ye Xiaowu Е Сяоу
Ye Youzhen Е Ючжэнь
Ye Yuejun Е Юэцзюнь
Yin Susu Инь Сусу
Yin Wairan Инь Вайжань
Yu Dalang Юй Далан
Yu Dexian Юй Дэсянь
Yu Hao Юй Хао
Yu Xiuyuan Юй Сююань
Yu Yuanbo Юй Юаньбо
Yuan Jin'gang Юань Цзиньган
Yuan Shen Юань Шэнь
Yuan Sheng Юань Шэн
Yuan Tiantian Юань Тяньтянь
Yuan Xianxian Юань Сяньсянь
Yuan Yimai Юань Имай
Yuan Yuzang Юань Юйцзан
Yue Xu Юэ Сюй
Zhang Ankang Чжан Анькан
Zhang Bao Чжан Бао
Zhang Cuo Чжан Цо
Zhang Dabao Чжан Дабао
Zhang Dazhuang Чжан Дачжуан
Zhang Hu Чжан Ху
Zhang Jiushu Чжан Цзюшу
Zhang Miliang Чжан Милян
Zhang San Чжан Сань
Zhang Sheng Чжан Шэн
Zhang Wenqing Чжан Вэньцин
Zhang Xukang Чжан Сюкан
Zhao Chengzong Чжао Чэнцзун
Zhao Ya Чжао Я
Zhou Ehuang Чжоу Эхуан
Zhou Qiqi Чжоу Цици
Zhu Yu Чжу Юй
